PERIOD_ID,PRODUCT_PACK_COUNT,PRODUCT_PACK_SIZE,PRODUCT_ID,PRODUCT_NM,PRODUCT_DESC,PRODUCT_ATTR1,PRODUCT_ATTR2,PRODUCT_ATTR3,PRODUCT_ATTR4,PRODUCT_ATTR5,PRODUCT_ATTR6,PRODUCT_ATTR7,IS_OWN_MANUFACTURER,ACV_NUM_DISTRIBUTION,ACV_WTD_DISTRIBUTION,RESELLER_ID,RETAILER_ID,RETAILER_LEVEL1_NM,RETAILER_LEVEL2_NM,RETAILER_LEVEL3_NM,RETAILER_SEGMENT1_NM,RETAILER_SEGMENT2_NM,RETAILER_SEGMENT3_NM,RETAILER_ATTR1,RETAILER_ATTR2,RETAILER_ATTR3,RETAILER_METRIC_1,RETAILER_METRIC_2,RETAILER_METRIC_3,LOCATION_ID,LOCATION_HIER_1_LVL1_NM,LOCATION_HIER_1_LVL1_SHORT_NM,LOCATION_HIER_1_LVL2_NM,LOCATION_HIER_1_LVL2_SHORT_NM,LOCATION_HIER_1_LVL3_NM,LOCATION_HIER_1_LVL3_SHORT_NM,LOCATION_HIER_1_LVL4_NM,LOCATION_HIER_1_LVL4_SHORT_NM,LOCATION_HIER_2_LVL1_NM,LOCATION_HIER_2_LVL1_SHORT_NM,LOCATION_HIER_2_LVL2_NM,LOCATION_HIER_2_LVL2_SHORT_NM,LOCATION_HIER_2_LVL3_NM,LOCATION_HIER_2_LVL3_SHORT_NM,LOCATION_HIER_2_LVL4_NM,LOCATION_HIER_2_LVL4_SHORT_NM,LOCATION_ATTR1,LOCATION_ATTR2,LOCATION_ATTR3,LOCATION_METRIC_1,LOCATION_METRIC_2,LOCATION_METRIC_3,LOCATION_DATE_1,LOCATION_DATE_2,LOCATION_DATE_3,PPG_ID,PPG_NM,BRAND_NM,SUBBRAND_NM,PRODUCT_CATEGORY,PRODUCT_PACK_COUNT_UOM,PRODUCT_IS_SS,PRODUCT_IS_MULTIPACK,PRODUCT_PACK_SIZE_UOM,PRODUCT_UNIT_SIZE,PRODUCT_UNIT_SIZE_UOM,PRODUCT_HIER_1_LVL1_NM,PRODUCT_HIER_1_LVL2_NM,PRODUCT_HIER_1_LVL3_NM,PRODUCT_HIER_1_LVL4_NM,PRODUCT_HIER_2_LVL1_NM,PRODUCT_HIER_2_LVL2_NM,PRODUCT_HIER_2_LVL3_NM,PRODUCT_HIER_2_LVL4_NM,PRODUCT_ATTR8,PRODUCT_ATTR9,PRODUCT_ATTR10,PRODUCT_METRIC_1,PRODUCT_METRIC_2,PRODUCT_METRIC_3,CHANNEL_NM,SUBCHANNEL_NM,MANUFACTURER_NM,UNIT_OF_MEASUREMENT,REGULAR_SALES_UNITS,PROMO_SALES_UNITS,NET_SALES_UNITS,REGULAR_SALES_VOLUME,PROMO_SALES_VOLUME,NET_SALES_VOLUME,REGULAR_SALES,PROMO_SALES,BASELINE_SALES,BASELINE_VOLUME,BASELINE_UNIT,NET_SALES_WITH_TAXES,NET_SALES_WITHOUT_TAXES,ACV_ANY_PROMO,ACV_FEATURE,ACV_DISPLAY,ACV_FEATURE_AND_DISPLAY,ACV_TPR,ACV_TPR_ONLY,ACV_SPECIAL_PACK,ACV_FREE_QUANTITY_ONLY,ACV_PR_WITH_FREE_QUANTITY_ONLY,ACV_FEATURE_ALL_PERCENT_ACV,ACV_DISPLAY_ALL_PERCENT_ACV,TOTAL_DISTRIBUTION_POINTS,PROMO_SALES_ANY_PROMO,PROMO_SALES_WITH_FEATURE_DISPLAY,PROMO_SALES_DISPLAY_WITHOUT_FEATURE,PROMO_SALES_FEATURE_WITHOUT_DISPLAY,PROMO_SALES_PR_WITH_FREE_QUANTITY_ONLY,PROMO_SALES_PR_WITH_STD_PACK_ONLY,PROMO_SALES_TPR_ANY,PROMO_SALES_TPR_ONLY,PROMO_SALES_SPECIAL_PACK,PROMO_SALES_FREE_QUANTITY_ONLY,PROMO_UNITS_WITH_FEATURE_DISPLAY,PROMO_UNITS_ANY_PROMO,PROMO_UNITS_FEATURE_WITHOUT_DISPLAY,PROMO_UNITS_DISPLAY_WITHOUT_FEATURE,PROMO_UNITS_TPR_ANY,PROMO_UNITS_TPR_ONLY,PROMO_UNITS_SPECIAL_PACK,PROMO_UNITS_FREE_QUANTITY_ONLY,PROMO_UNITS_PR_WITH_FREE_QUANTITY_ONLY,PROMO_VOLUME_ANY_PROMO,PROMO_VOLUME_FEATURE_WITHOUT_DISPLAY,PROMO_VOLUME_DISPLAY_WITHOUT_FEATURE,PROMO_VOLUME_TPR_ANY,PROMO_VOLUME_TPR_ONLY,PROMO_VOLUME_SPECIAL_PACK,PROMO_VOLUME_FREE_QUANTITY_ONLY,PROMO_VOLUME_PR_WITH_FREE_QUANTITY_ONLY,PROMO_VOLUME_FEATURE_DISPLAY,POS_TRANSACTION_ATTR1,POS_TRANSACTION_ATTR2,POS_TRANSACTION_ATTR3,POS_TRANSACTION_ATTR4,POS_TRANSACTION_ATTR5,POS_TRANSACTION_METRIC_1,POS_TRANSACTION_METRIC_2,POS_TRANSACTION_METRIC_3,PACK_TYPE,SEGMENT_NAME,POS_TRANSACTION_METRIC_4,POS_TRANSACTION_METRIC_5,PERIOD_START_DATE,PERIOD_END_DATE,WEEK_NM,QUARTER_NM,MONTH_NM,YEAR_NM,CURRENCY_NM,CLIENT_PPG_ID,CLIENT_PPG_NAME
1/2/2021,1,100,PPG1,Product1,Product1,ATTR1,ATTR1,ATTR1,ATTR1,ATTR1,1,NA,N,0,0.13,NA,Retailer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,Brand1,SB1,Cat A,COUNT,NA,NA,COUNT,100,COUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Manufacturer 1,COUNT,28,0,28,2800,0,2800,152.31,0,313.66,5600.86,56.009,152.31,152.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,CHECK,NA,2800,2800,0.13,NA,NA,0,0,12/27/2020,1/2/2021,2020W53,2021Q1,2021M01,Y2021,USD,NA,NA
1/9/2021,1,100,PPG1,Product1,Product1,ATTR1,ATTR1,ATTR1,ATTR1,ATTR1,1,NA,N,0,0.066,NA,Retailer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,Brand1,SB1,Cat A,COUNT,NA,NA,COUNT,100,COUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Manufacturer 1,COUNT,17,0,17,1700,0,1700,85.32,0,165.81,2879.34,28.793,85.32,85.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,CHECK,NA,1700,1700,0.066,NA,NA,0,0,1/3/2021,1/9/2021,2021W01,2021Q1,2021M01,Y2021,USD,NA,NA
1/16/2021,1,100,PPG1,Product1,Product1,ATTR1,ATTR1,ATTR1,ATTR1,ATTR1,1,NA,N,0,0.074,NA,Retailer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,Brand1,SB1,Cat A,COUNT,NA,NA,COUNT,100,COUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Manufacturer 1,COUNT,10,0,10,1000,0,1000,47.43,0,87.1,1725.81,17.258,47.43,47.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,CHECK,NA,1000,1000,0.074,NA,NA,0,0,1/10/2021,1/16/2021,2021W02,2021Q1,2021M01,Y2021,USD,NA,NA
1/23/2021,1,100,PPG1,Product1,Product1,ATTR1,ATTR1,ATTR1,ATTR1,ATTR1,1,NA,N,0,0.069,NA,Retailer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,Brand1,SB1,Cat A,COUNT,NA,NA,COUNT,100,COUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Manufacturer 1,COUNT,15,0,15,1500,0,1500,74.52,0,86.21,1718.91,17.189,74.52,74.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,CHECK,NA,1500,1500,0.069,NA,NA,0,0,1/17/2021,1/23/2021,2021W03,2021Q1,2021M01,Y2021,USD,NA,NA
1/30/2021,1,100,PPG1,Product1,Product1,ATTR1,ATTR1,ATTR1,ATTR1,ATTR1,1,NA,N,0,0.035,NA,Retailer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,Brand1,SB1,Cat A,COUNT,NA,NA,COUNT,100,COUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Manufacturer 1,COUNT,18,0,18,1800,0,1800,72.17,0,87.54,1840.38,18.404,72.17,72.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,CHECK,NA,1800,1800,0.035,NA,NA,0,0,1/24/2021,1/30/2021,2021W04,2021Q1,2021M01,Y2021,USD,NA,NA
2/6/2021,1,100,PPG1,Product1,Product1,ATTR1,ATTR1,ATTR1,ATTR1,ATTR1,1,NA,N,0,0.031,NA,Retailer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,Brand1,SB1,Cat A,COUNT,NA,NA,COUNT,100,COUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Manufacturer 1,COUNT,9,0,9,900,0,900,34.64,0,31.83,775.48,7.755,34.64,34.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,CHECK,NA,900,900,0.031,NA,NA,0,0,1/31/2021,2/6/2021,2021W05,2021Q1,2021M02,Y2021,USD,NA,NA
2/13/2021,1,100,PPG1,Product1,Product1,ATTR1,ATTR1,ATTR1,ATTR1,ATTR1,1,NA,N,0,0.067,NA,Retailer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,Brand1,SB1,Cat A,COUNT,NA,NA,COUNT,100,COUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Manufacturer 1,COUNT,11,0,11,1100,0,1100,45.83,0,24.4,594.26,5.943,45.83,45.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,CHECK,NA,1100,1100,0.067,NA,NA,0,0,2/7/2021,2/13/2021,2021W06,2021Q1,2021M02,Y2021,USD,NA,NA
2/20/2021,1,100,PPG1,Product1,Product1,ATTR1,ATTR1,ATTR1,ATTR1,ATTR1,1,NA,N,0,0.02,NA,Retailer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,Brand1,SB1,Cat A,COUNT,NA,NA,COUNT,100,COUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Manufacturer 1,COUNT,3,0,3,300,0,300,11.83,0,16.93,392.71,3.927,11.83,11.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,CHECK,NA,300,300,0.02,NA,NA,0,0,2/14/2021,2/20/2021,2021W07,2021Q1,2021M02,Y2021,USD,NA,NA
2/27/2021,1,100,PPG1,Product1,Product1,ATTR1,ATTR1,ATTR1,ATTR1,ATTR1,1,NA,N,0,0.005,NA,Retailer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,Brand1,SB1,Cat A,COUNT,NA,NA,COUNT,100,COUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Manufacturer 1,COUNT,2,0,2,200,0,200,6.3,0,18.97,447.65,4.477,6.3,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,CHECK,NA,200,200,0.005,NA,NA,0,0,2/21/2021,2/27/2021,2021W08,2021Q1,2021M02,Y2021,USD,NA,NA
3/6/2021,1,100,PPG1,Product1,Product1,ATTR1,ATTR1,ATTR1,ATTR1,ATTR1,1,NA,N,0,0.042,NA,Retailer 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,Brand1,SB1,Cat A,COUNT,NA,NA,COUNT,100,COUNT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,Manufacturer 1,COUNT,5,0,5,500,0,500,22.3,0,16.91,406.87,4.069,22.3,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,,CHECK,NA,500,500,0.042,NA,NA,0,0,2/28/2021,3/6/2021,2021W09,2021Q1,2021M03,Y2021,USD,NA,NA
