mandatory_cols,mandatory_colnames,optional_cols,optional_colnames
manufacturer_nm,PPG_ID,NA,PPG_DESC
NA,PRODUCT_ID,NA,PPG_SUBBRAND_NM
NA,PPG_NM,NA,PPG_PACK_COUNT
product_category,PPG_CATEGORY,NA,PPG_PACK_COUNT_UOM
brand_nm,PPG_BRAND_NM,NA,PPG_IS_SS
NA,BOTTOM_5_PERC_FLAG,NA,PPG_IS_MULTIPACK
NA,PPG_MANUFACTURER_NM,product_pack_size,PPG_PACK_SIZE
NA,PPG_IS_OWN_MANUFACTURER,NA,PPG_PACK_SIZE_UOM
,,NA,PPG_UNIT_SIZE
,,NA,PPG_UNIT_SIZE_UOM
,,NA,PPG_HIER_1_LVL1_NM
,,NA,PPG_HIER_1_LVL2_NM
,,NA,PPG_HIER_1_LVL3_NM
,,NA,PPG_HIER_1_LVL4_NM
,,NA,PPG_HIER_2_LVL1_NM
,,NA,PPG_HIER_2_LVL2_NM
,,NA,PPG_HIER_2_LVL3_NM
,,NA,PPG_HIER_2_LVL4_NM
,,NA,PPG_ATTR1
,,NA,PPG_ATTR2
,,NA,PPG_ATTR3
,,NA,PPG_ATTR4
,,NA,PPG_ATTR5
,,NA,PPG_ATTR6
,,NA,PPG_ATTR7
,,NA,PPG_ATTR8
,,NA,PPG_ATTR9
,,NA,PPG_ATTR10
,,NA,PPG_ATTR11
,,NA,PPG_ATTR12
,,NA,PPG_METRIC_1
,,NA,PPG_METRIC_2
,,NA,PPG_METRIC_3
